matricula;nome;curso;carga_horaria
AUR-0001;Ana Clara Beltrão;Oficina de Comunicação Escrita;20
AUR-0002;Bruno Cavalcanti;Introdução à Organização de Arquivos;12
AUR-0003;Camila Duarte;Oficina de Comunicação Escrita;20
AUR-0004;Diego Ferreira;Introdução à Organização de Arquivos;12
AUR-0005;Elisa Fontes;Introdução à Organização de Arquivos;12
AUR-0006;Fábio Guimarães;Introdução à Organização de Arquivos;12
AUR-0007;Gabriela Holanda;Curso de Atendimento ao Público;40
AUR-0008;Heitor Lins;Introdução à Organização de Arquivos;12
AUR-0009;Isadora Maia;Oficina de Comunicação Escrita;20
AUR-0010;João Pedro Nóbrega;Curso de Atendimento ao Público;40
AUR-0011;Karina Oliveira;Curso de Atendimento ao Público;40
AUR-0012;Lucas Pontes;Introdução à Organização de Arquivos;12
AUR-0013;Mariana Queiroz;Curso de Atendimento ao Público;40
AUR-0014;Nícolas Ramos;Introdução à Organização de Arquivos;12
AUR-0015;Olívia Santana;Oficina de Comunicação Escrita;20
AUR-0016;Paulo Tavares;Curso de Atendimento ao Público;40
AUR-0017;Quésia Uchoa;Introdução à Organização de Arquivos;12
AUR-0018;Rafael Vasconcelos;Curso de Atendimento ao Público;40
AUR-0019;Sofia Wanderley;Curso de Atendimento ao Público;40
AUR-0020;Tiago Ximenes;Oficina de Comunicação Escrita;20
AUR-0021;Úrsula Azevedo;Introdução à Organização de Arquivos;12
AUR-0022;Vicente Barros;Introdução à Organização de Arquivos;12
AUR-0023;Wesley Cordeiro;Oficina de Comunicação Escrita;20
AUR-0024;Yasmin Dantas;Oficina de Comunicação Escrita;20
AUR-0025;Arthur Espínola;Introdução à Organização de Arquivos;12
AUR-0026;Beatriz Farias;Curso de Atendimento ao Público;40
AUR-0027;Caio Galvão;Oficina de Comunicação Escrita;20
AUR-0028;Daniela Henriques;Oficina de Comunicação Escrita;20
AUR-0029;Emanuel Iglesias;Curso de Atendimento ao Público;40
AUR-0030;Flávia Julião;Introdução à Organização de Arquivos;12
